last_updated,PDX7,PDX9
2021-03-14,135.0,232.0
2021-03-21,138.0,233.0
2021-03-28,142.0,236.0
2021-04-04,143.0,244.0
2021-04-11,144.0,249.0
2021-04-18,145.0,256.0
2021-04-25,145.0,262.0
2021-05-02,150.0,269.0
2021-05-09,156.0,284.0
2021-05-16,168.0,294.0
2021-05-23,175.0,306.0
2021-06-06,181.0,327.0
2021-06-13,181.0,330.0
2021-06-20,181.0,332.0
2021-06-27,182.0,334.0
2021-07-11,182.0,334.0
2021-07-18,182.0,336.0
2021-07-25,183.0,337.0
2021-08-01,183.0,337.0
2021-08-08,183.0,337.0
2021-08-15,185.0,340.0
2021-08-22,185.0,345.0
2021-08-29,189.0,351.0
2021-09-05,198.0,359.0
2021-09-12,204.0,366.0
2021-09-19,211.0,372.0
2021-09-26,213.0,377.0
2021-10-03,214.0,380.0
2021-10-10,216.0,381.0
2021-10-17,216.0,382.0
2021-10-24,217.0,384.0
2021-10-31,219.0,387.0
2021-11-07,222.0,389.0
2021-11-14,227.0,393.0
2021-11-21,228.0,397.0
2021-11-28,229.0,402.0
2021-12-05,231.0,432.0
2021-12-12,233.0,453.0
